x,y
274.9399871826172,476.33001708984375
266.55461502075195,476.32462310791016
259.8044204711914,477.20298767089844
253.26568603515625,478.6879348754883
246.27730178833008,480.4379348754883
240.2353343963623,483.05999755859375
233.79670906066895,485.96473693847656
228.34337997436523,489.56834411621094
222.55084419250488,493.4729995727539
217.77084159851074,497.9202575683594
212.71370315551758,502.68592071533203
208.06336975097656,507.85250091552734
204.44643783569336,513.3474731445312
200.65361404418945,519.1803436279297
197.89153480529785,525.2116165161133
195.02036094665527,531.5857009887695
193.16264152526855,538.035514831543
191.75753593444824,544.6381759643555
190.80792808532715,551.3672485351562
190.31336402893066,558.1968841552734
190.75157165527344,564.8376235961914
191.3720932006836,571.6439208984375
192.6055393218994,578.3296813964844
194.41878509521484,584.8558120727539
196.778959274292,591.1864242553711
199.40929985046387,597.5526580810547
202.79716110229492,603.3911895751953
206.45070266723633,609.1931381225586
210.7367286682129,614.4161148071289
215.27910232543945,619.5282211303711
220.2285614013672,624.2451782226562
225.63632202148438,628.3330154418945
231.2724323272705,632.1891250610352
237.25804328918457,635.3998794555664
243.4385986328125,638.2915344238281
249.86157608032227,640.5346832275391
256.4408721923828,642.2760314941406
263.13768768310547,643.4973678588867
269.9110336303711,644.1796264648438
276.7171974182129,644.3140487670898
283.51241302490234,643.9074172973633
290.25243377685547,642.9524154663086
296.8922920227051,641.4518737792969
303.3877143859863,639.4150314331055
309.695255279541,636.854866027832
315.7742462158203,633.7911376953125
321.584659576416,630.2444076538086
327.0900459289551,626.2405776977539
332.2549171447754,621.8061370849609
337.04594802856445,616.9701385498047
341.43205642700195,611.7641983032227
345.38317489624023,606.2208404541016
348.87265396118164,600.3759002685547
351.87525939941406,594.2665481567383
354.3704299926758,587.9329986572266
356.3400344848633,581.4168548583984
357.77277755737305,574.761962890625
358.662410736084,568.0130233764648
358.94001388549805,561.2135620117188
358.94001388549805,554.4042739868164
358.94001388549805,547.5950393676758
358.94001388549805,540.7858047485352
358.94001388549805,533.9765701293945
358.94001388549805,527.1673355102539
358.94001388549805,520.3581008911133
358.94001388549805,513.5488662719727
358.94001388549805,506.73963165283203
358.94001388549805,499.9303970336914
358.94001388549805,493.12110900878906
358.94001388549805,486.31187438964844
358.94001388549805,479.5026397705078
358.94001388549805,472.6934051513672
358.94001388549805,465.88417053222656
358.94001388549805,459.07493591308594
358.9399871826172,452.2657012939453
358.9399871826172,445.45641326904297
358.9399871826172,438.64717864990234
358.9399871826172,431.8379440307617
358.9399871826172,425.0287094116211
358.9399871826172,418.21947479248047
358.9399871826172,411.41024017333984
358.9399871826172,404.6010055541992
358.9399871826172,397.7917175292969
358.9399871826172,390.98248291015625
