x,y
544,288
543.1150512695312,273.98675537109375
540.541259765625,260.18247985839844
536.4093627929688,246.7610626220703
530.8500061035156,233.8645477294922
523.853515625,221.695068359375
515.5537414550781,210.36312866210938
506.330810546875,199.76943969726562
496.2149963378906,190.0252685546875
485.2528991699219,181.24456787109375
473.51080322265625,173.53854370117188
461.1058349609375,166.94894409179688
448.2541198730469,161.27883911132812
435.01177978515625,156.59291076660156
421.455810546875,152.9112548828125
407.66351318359375,150.24807739257812
393.7120666503906,148.61170959472656
379.67803955078125,148.0044708251953
365.6387023925781,147.64313507080078
351.7305908203125,145.7048110961914
338.1359558105469,142.1861343383789
325.03009033203125,137.14281463623047
312.5824890136719,130.64260864257812
300.957763671875,122.76475524902344
290.3714599609375,113.54617309570312
279.57843017578125,104.57176971435547
267.6805419921875,97.11477661132812
254.99403381347656,91.09349822998047
241.72581481933594,86.49140167236328
228.0533447265625,83.28057861328125
214.1334228515625,81.40937423706055
200.10076904296875,80.80020904541016
186.0504608154297,80.79998779296875
172.0001678466797,80.79999160766602
157.94984436035156,80.79999542236328
143.91734313964844,81.09387588500977
133.5511016845703,89.63416290283203
135.22789764404297,102.96929931640625
141.93975830078125,115.31285095214844
148.62879943847656,127.66873168945312
155.31739807128906,140.02484893798828
162.01437377929688,152.37649536132812
168.72573852539062,164.72019958496094
175.453125,177.05528259277344
182.2009735107422,189.37913513183594
188.8935546875,201.7331085205078
195.57472229003906,214.09323120117188
202.25587463378906,226.453369140625
208.9370574951172,238.81356811523438
214.77035522460938,251.1674346923828
207.90719604492188,263.4274444580078
201.0440216064453,275.6874694824219
194.17872619628906,287.9462890625
187.30557250976562,300.20068359375
180.42117309570312,312.44891357421875
173.52073669433594,324.6878967285156
166.59617614746094,336.91339111328125
159.63922119140625,349.1203918457031
152.6354522705078,361.3006286621094
141.82549285888672,365.5999755859375
128.79998016357422,366.624755859375
128.09185791015625,380.6355895996094
123.38093566894531,393.7913818359375
114.14592742919922,404.27020263671875
101.96855926513672,411.1852722167969
88.49369812011719,415.08740234375
74.54962158203125,416.70672607421875
64,420.29937744140625
64,434.34967041015625
64,448.39996337890625
64.84260177612305,462.37615966796875
72.051025390625,474.2206726074219
84.45452880859375,480.4129943847656
98.48184204101562,480.79998779296875
112.53213500976562,480.79998779296875
126.58255004882812,480.79998779296875
140.63284301757812,480.79998779296875
145.60000610351562,489.88311767578125
145.60000610351562,503.93341064453125
145.60000610351562,517.9837036132812
145.60000610351562,532.0339965820312
153.5576934814453,540.7539672851562
158.40000915527344,529.2347412109375
158.40000915527344,515.1844482421875
