month_name,high_temp,low_temp
Jan,38,27
Feb,42,29
Mar,50,35
Apr,61,45
May,71,54
Jun,79,64
Jul,84,69
Aug,83,68
Sept,75,61
Oct,64,50
Nov,54,42
Dec,43,32
